Data,Coltura,pH,EC (dS/m),Azoto N (%),Fosforo P (mg/kg),Potassio K (mg/kg),Sostanza organica (%),Umidità suolo (%),Temperatura suolo (°C)
2021-01-01,Oliveto,7.96,0.44,0.133,29.7,158.7,2.09,30.7,10.4
2021-02-01,Oliveto,8.09,0.48,0.102,22.2,215.2,1.64,34.5,15.5
2021-03-01,Oliveto,7.99,0.45,0.142,22.8,154.0,2.13,27.5,20.3
2021-04-01,Oliveto,7.92,0.52,0.142,26.8,174.4,1.61,18.9,20.2
2021-05-01,Oliveto,8.19,0.56,0.146,30.8,151.1,1.51,21.9,18.3
2021-06-01,Oliveto,8.02,0.58,0.117,27.1,197.7,2.13,31.1,13.2
2021-07-01,Oliveto,8.08,0.57,0.147,32.5,178.9,1.52,24.5,9.0
2021-08-01,Oliveto,7.91,0.45,0.099,22.9,211.7,1.97,22.8,5.7
2021-09-01,Oliveto,8.03,0.54,0.146,22.3,191.6,2.03,31.0,2.4
2021-10-01,Oliveto,7.96,0.46,0.099,23.3,152.2,1.79,23.4,-0.6
2021-11-01,Oliveto,7.9,0.65,0.116,32.5,205.6,1.79,32.3,-1.6
2021-12-01,Oliveto,8.05,0.66,0.139,29.9,183.6,2.2,22.5,5.3
2022-01-01,Oliveto,8.1,0.48,0.105,31.8,191.6,1.8,15.4,10.3
2022-02-01,Oliveto,7.93,0.63,0.14,31.3,194.8,2.09,30.5,13.9
2022-03-01,Oliveto,8.04,0.72,0.122,27.7,187.8,1.97,33.3,17.6
2022-04-01,Oliveto,7.73,0.69,0.106,32.7,218.2,1.91,32.5,18.9
2022-05-01,Oliveto,7.95,0.69,0.144,32.9,203.5,1.94,33.7,18.4
2022-06-01,Oliveto,7.86,0.72,0.129,32.9,171.2,1.81,18.4,15.6
2022-07-01,Oliveto,8.08,0.75,0.109,25.2,174.0,1.8,22.7,9.8
2022-08-01,Oliveto,8.16,0.48,0.099,29.8,191.2,1.96,33.3,3.9
2022-09-01,Oliveto,8.09,0.57,0.118,33.9,180.7,2.07,23.1,1.0
2022-10-01,Oliveto,8.07,0.52,0.117,20.2,150.3,2.11,29.9,-0.4
2022-11-01,Oliveto,7.89,0.6,0.144,22.6,162.8,1.68,24.0,2.1
2022-12-01,Oliveto,8.18,0.62,0.146,34.7,151.2,1.62,19.6,4.2
2023-01-01,Oliveto,7.93,0.71,0.118,34.0,156.2,1.85,20.0,10.0
2023-02-01,Oliveto,8.03,0.54,0.09,21.9,176.6,1.53,26.9,15.3
2023-03-01,Oliveto,8.05,0.71,0.132,21.6,209.5,1.86,31.3,18.7
2023-04-01,Oliveto,7.84,0.53,0.123,22.4,152.8,2.16,16.2,21.1
2023-05-01,Oliveto,8.18,0.75,0.148,21.6,187.3,1.63,34.5,17.2
2023-06-01,Oliveto,8.01,0.57,0.082,27.6,160.6,1.57,32.8,15.0
2023-07-01,Oliveto,8.04,0.71,0.136,26.1,176.0,2.19,17.0,11.4
2023-08-01,Oliveto,8.06,0.47,0.092,30.0,159.1,1.87,18.9,6.9
2023-09-01,Oliveto,8.0,0.72,0.135,30.6,154.9,1.59,26.9,0.5
2023-10-01,Oliveto,7.84,0.68,0.108,34.3,214.4,1.56,33.4,-0.1
2023-11-01,Oliveto,8.04,0.5,0.131,20.9,194.5,2.15,33.7,0.3
2023-12-01,Oliveto,8.13,0.5,0.099,32.0,164.0,1.59,30.6,5.3
2024-01-01,Oliveto,7.97,0.7,0.114,25.4,169.2,2.16,28.5,9.9
2024-02-01,Oliveto,8.11,0.71,0.099,26.5,161.3,1.88,20.5,14.8
2024-03-01,Oliveto,8.01,0.41,0.103,25.5,216.6,1.67,22.2,18.4
2024-04-01,Oliveto,7.96,0.56,0.135,20.6,158.1,1.67,25.7,21.3
2024-05-01,Oliveto,8.18,0.71,0.106,26.2,194.6,1.66,21.8,20.7
2024-06-01,Oliveto,7.73,0.54,0.136,25.7,191.6,1.64,34.5,14.4
2024-07-01,Oliveto,8.02,0.41,0.141,30.5,150.7,1.65,19.4,9.8
2024-08-01,Oliveto,7.97,0.61,0.121,35.0,171.3,1.74,18.2,4.3
2024-09-01,Oliveto,8.0,0.6,0.115,27.8,164.7,1.86,16.5,-0.6
2024-10-01,Oliveto,7.97,0.62,0.111,24.5,152.8,1.67,32.7,1.8
2024-11-01,Oliveto,8.09,0.77,0.143,34.9,166.5,1.52,28.5,1.0
2024-12-01,Oliveto,8.16,0.6,0.135,22.3,153.4,2.1,28.6,4.3
2025-01-01,Oliveto,8.0,0.77,0.081,29.9,198.2,1.8,35.0,10.2
2025-02-01,Oliveto,8.06,0.64,0.138,29.5,209.2,1.54,25.1,14.8
2025-03-01,Oliveto,8.0,0.79,0.107,27.7,216.2,1.82,24.6,19.4
2025-04-01,Oliveto,7.96,0.72,0.136,24.0,199.6,1.95,21.3,19.8
2025-05-01,Oliveto,7.89,0.49,0.101,29.6,201.9,2.16,29.8,19.8
2025-06-01,Oliveto,8.15,0.47,0.106,32.7,175.8,1.78,23.8,16.4
2025-07-01,Oliveto,8.1,0.6,0.102,25.0,207.5,1.88,18.9,10.9
2025-08-01,Oliveto,8.0,0.51,0.144,24.4,167.5,2.13,17.5,4.8
2025-09-01,Oliveto,8.09,0.71,0.122,27.8,216.1,1.67,22.6,1.5
2025-10-01,Oliveto,7.9,0.43,0.083,34.8,197.0,1.59,19.7,0.6
2025-11-01,Oliveto,7.85,0.64,0.112,21.7,206.9,1.83,20.1,0.7
2025-12-01,Oliveto,8.01,0.73,0.111,33.1,218.1,1.78,25.5,5.7
2021-01-01,Ciliegeto,7.54,0.78,0.124,26.2,173.1,1.92,20.3,10.1
2021-02-01,Ciliegeto,7.69,0.73,0.116,29.2,204.5,2.07,29.6,15.8
2021-03-01,Ciliegeto,7.63,0.58,0.119,33.2,219.0,1.72,31.9,18.8
2021-04-01,Ciliegeto,7.49,0.57,0.094,27.8,159.5,1.75,21.1,20.6
2021-05-01,Ciliegeto,7.62,0.72,0.119,33.4,202.6,2.04,19.3,18.5
2021-06-01,Ciliegeto,7.75,0.59,0.092,33.7,160.0,1.81,19.6,14.3
2021-07-01,Ciliegeto,7.61,0.66,0.096,29.9,182.5,2.14,19.2,9.9
2021-08-01,Ciliegeto,7.49,0.77,0.137,34.6,178.6,1.89,18.0,5.8
2021-09-01,Ciliegeto,7.55,0.67,0.109,25.6,218.9,1.62,29.3,0.5
2021-10-01,Ciliegeto,7.73,0.45,0.13,29.2,178.2,2.17,15.1,-0.9
2021-11-01,Ciliegeto,7.54,0.79,0.124,28.3,172.4,1.76,23.4,2.6
2021-12-01,Ciliegeto,7.52,0.79,0.126,34.6,185.1,2.07,32.6,3.6
2022-01-01,Ciliegeto,7.59,0.56,0.121,25.7,204.6,1.98,22.0,10.3
2022-02-01,Ciliegeto,7.49,0.73,0.11,31.5,156.0,1.55,31.8,13.8
2022-03-01,Ciliegeto,7.71,0.5,0.137,33.7,151.1,1.79,23.3,19.6
2022-04-01,Ciliegeto,7.5,0.77,0.107,30.4,193.3,2.19,30.3,21.5
2022-05-01,Ciliegeto,7.65,0.6,0.091,29.6,151.9,1.9,31.2,18.6
2022-06-01,Ciliegeto,7.59,0.44,0.127,34.0,184.7,2.18,19.9,13.5
2022-07-01,Ciliegeto,7.5,0.58,0.123,32.6,192.2,1.88,31.5,9.0
2022-08-01,Ciliegeto,7.71,0.75,0.148,23.5,180.4,1.62,23.5,4.9
2022-09-01,Ciliegeto,7.63,0.46,0.081,21.6,179.6,1.8,23.6,0.9
2022-10-01,Ciliegeto,7.59,0.75,0.127,22.3,210.1,1.5,28.1,-1.0
2022-11-01,Ciliegeto,7.61,0.59,0.142,27.8,210.4,2.04,26.0,-0.3
2022-12-01,Ciliegeto,7.57,0.48,0.106,22.6,152.8,1.98,34.0,4.6
2023-01-01,Ciliegeto,7.63,0.44,0.134,27.4,150.4,1.5,25.8,8.3
2023-02-01,Ciliegeto,7.35,0.41,0.097,33.7,188.4,1.7,30.2,14.7
2023-03-01,Ciliegeto,7.69,0.66,0.098,20.0,219.4,1.53,15.2,18.8
2023-04-01,Ciliegeto,7.49,0.8,0.096,23.5,171.1,2.17,30.1,21.1
2023-05-01,Ciliegeto,7.72,0.77,0.128,21.7,198.2,2.14,16.8,19.1
2023-06-01,Ciliegeto,7.67,0.45,0.129,30.7,186.3,2.16,27.9,16.0
2023-07-01,Ciliegeto,7.59,0.77,0.12,34.1,205.4,1.63,17.5,10.3
2023-08-01,Ciliegeto,7.7,0.54,0.133,20.9,152.4,1.98,19.7,5.1
2023-09-01,Ciliegeto,7.6,0.68,0.136,34.7,173.9,2.09,25.0,0.5
2023-10-01,Ciliegeto,7.6,0.71,0.129,25.4,217.0,1.76,18.6,0.0
2023-11-01,Ciliegeto,7.65,0.65,0.145,29.5,181.9,2.14,31.1,1.9
2023-12-01,Ciliegeto,7.71,0.52,0.119,34.2,161.2,1.93,21.3,6.5
2024-01-01,Ciliegeto,7.67,0.41,0.105,27.6,208.8,1.85,29.9,10.3
2024-02-01,Ciliegeto,7.54,0.45,0.085,27.8,181.3,1.71,24.5,15.9
2024-03-01,Ciliegeto,7.64,0.78,0.095,28.3,219.7,1.7,15.5,19.3
2024-04-01,Ciliegeto,7.5,0.56,0.143,32.4,187.7,1.63,29.8,18.6
2024-05-01,Ciliegeto,7.7,0.59,0.138,29.8,201.0,1.86,24.8,16.2
2024-06-01,Ciliegeto,7.63,0.62,0.11,25.9,213.5,2.1,22.7,16.1
2024-07-01,Ciliegeto,7.61,0.42,0.129,22.8,192.9,1.85,29.9,7.7
2024-08-01,Ciliegeto,7.68,0.45,0.103,26.7,219.2,2.14,32.0,4.4
2024-09-01,Ciliegeto,7.5,0.49,0.081,28.4,179.4,1.7,16.9,2.4
2024-10-01,Ciliegeto,7.61,0.67,0.114,31.6,190.8,1.98,33.4,-0.5
2024-11-01,Ciliegeto,7.54,0.63,0.081,29.2,211.9,1.91,24.6,0.5
2024-12-01,Ciliegeto,7.58,0.53,0.096,22.3,189.6,1.75,15.9,3.4
2025-01-01,Ciliegeto,7.73,0.75,0.137,31.5,156.1,1.9,15.8,11.8
2025-02-01,Ciliegeto,7.59,0.67,0.092,26.4,200.8,2.0,17.3,16.2
2025-03-01,Ciliegeto,7.51,0.67,0.124,26.6,174.8,1.96,32.3,17.3
2025-04-01,Ciliegeto,7.6,0.42,0.138,20.1,211.7,2.01,33.4,21.1
2025-05-01,Ciliegeto,7.58,0.46,0.106,25.6,210.9,1.82,27.0,17.9
2025-06-01,Ciliegeto,7.48,0.59,0.146,29.8,196.0,1.78,18.2,14.3
2025-07-01,Ciliegeto,7.7,0.71,0.145,22.8,170.7,1.88,23.8,9.2
2025-08-01,Ciliegeto,7.49,0.5,0.092,20.9,205.9,2.14,23.7,5.0
2025-09-01,Ciliegeto,7.67,0.44,0.138,30.8,188.1,2.18,31.5,1.9
2025-10-01,Ciliegeto,7.42,0.77,0.146,20.0,209.6,1.73,22.4,-0.0
2025-11-01,Ciliegeto,7.67,0.6,0.104,31.3,206.7,1.92,30.1,0.1
2025-12-01,Ciliegeto,7.61,0.72,0.139,28.4,159.1,1.75,23.1,5.5
